petting_time,playing_with_other_dogs,going_out_with_dog,find_dog_friendly_places ,dog_walker ,working_as_dog_walker,social_activities ,interest_dog_friendly,interest_dog_sitter,interest_dating,interest_price_comparison ,interest_dog_walker,interest_dog_nearby,interest_second_hand_sharing,occupation ,district,owner_gender,owner_age,dog_age
3,6,2,good idea,never,1,5,interested,not interested,interested,interested,not interested,interested,interested,salaried employee,north,male,29,4
5,5,6,good idea,never,2,6,interested,not interested,use other app,not interested,not interested,use other app,not interested,education,north,female,60,2
5,6,6,good idea,never,1,6,interested,interested,interested,interested,not interested,interested,interested,self employed,center,female,54,6
5,6,6,good idea,never,3,6,interested,interested,interested,interested,interested,interested,interested,unemployed,north,male,27,1
5,2,6,good idea,never,1,6,interested,not interested,not interested,interested,not interested,not interested,not interested,education,north,female,25,4
5,6,6,good idea,never,6,4,interested,interested,interested,interested,not interested,interested,interested,salaried employee,center,female,24,11
2,6,4,good idea,never,3,6,interested,not interested,use other app,interested,not interested,interested,not interested,self employed,north,female,30,2
2,5,1,good idea,never,1,4,interested,not interested,interested,not interested,not interested,interested,not interested,unemployed,north,female,28,2
3,6,1,good idea,never,1,3,interested,not interested,not interested,interested,not interested,not interested,interested,education,north,female,27,3.5
5,5,4,good idea,never,6,5,interested,interested,interested,interested,interested,interested,interested,unemployed,north,male,17,3
4,4,6,good idea,seldom,2,3,interested,not interested,not interested,interested,not interested,not interested,interested,self employed,center,female,33,2
2,6,3,good idea,never,4,4,interested,not interested,interested,not interested,not interested,interested,not interested,unemployed,north,female,25,3
5,2,3,good idea,never,2,6,not interested,not interested,not interested,interested,not interested,not interested,interested,unemployed,north,male,17,6
5,6,6,good idea,regularly,6,6,interested,interested,not interested,not interested,interested,not interested,interested,self employed,south,female,50,10
4,3,5,good idea,never,1,6,interested,use other app,interested,interested,use other app,interested,use other app,self employed,center,male,39,8
4,4,6,good idea,never,3,2,interested,use other app,use other app,use other app,use other app,not interested,use other app,self employed,center,female,46,3
5,4,6,good idea,never,3,6,interested,not interested,interested,interested,not interested,interested,interested,unemployed,center,female,25,2.5
5,3,2,good idea,never,3,1,not interested,not interested,not interested,not interested,not interested,not interested,use other app,self employed,north,female,16,8
4,5,5,good idea,never,4,5,interested,not interested,interested,interested,not interested,interested,interested,education,center,male,24,3
3,6,6,good idea,never,4,6,interested,not interested,not interested,interested,not interested,not interested,interested,education,north,female,17,5
4,3,1,good idea,never,2,6,interested,interested,not interested,interested,not interested,not interested,not interested,high tech,north,male,22,7
5,5,6,good idea,never,4,2,not interested,not interested,not interested,interested,not interested,not interested,interested,salaried employee,north,male,17,11
5,6,0,good idea,never,5,6,interested,not interested,interested,interested,not interested,interested,not interested,unemployed,north,female,16,5
3,2,5,good idea,never,1,3,interested,not interested,not interested,interested,not interested,not interested,not interested,unemployed,north,male,17,4.5
4,4,5,good idea,never,6,4,interested,not interested,interested,interested,not interested,interested,interested,unemployed,north,female,17,9
5,6,6,good idea,never,4,6,interested,not interested,not interested,not interested,not interested,interested,interested,salaried employee,south,male,27,3
3,4,6,good idea,never,1,6,interested,not interested,not interested,interested,not interested,not interested,interested,salaried employee,center,female,28,6
5,3,0,good idea,never,3,6,not interested,use other app,interested,interested,not interested,interested,interested,self employed,north,female,52,12
5,5,3,good idea,never,2,4,use other app,not interested,use other app,interested,not interested,use other app,interested,salaried employee,south,female,28,2.5
5,5,5,good idea,never,1,5,interested,not interested,not interested,interested,not interested,interested,interested,self employed,center,female,25,1
5,6,2,good idea,never,1,4,interested,not interested,interested,interested,not interested,interested,interested,finance and marketing,south,male,58,7
4,6,5,good idea,never,6,6,interested,not interested,interested,interested,not interested,interested,interested,self employed,center,female,22,6
5,5,5,good idea,never,1,4,interested,not interested,interested,interested,not interested,interested,interested,high tech,center,female,30,6
5,3,3,good idea,never,1,3,not interested,not interested,not interested,interested,interested,not interested,not interested,unemployed,north,male,17,3
2,3,6,good idea,never,1,6,interested,not interested,interested,interested,not interested,interested,interested,high tech,center,male,25,2
5,4,5,good idea,never,4,5,interested,not interested,not interested,interested,not interested,not interested,not interested,unemployed,north,female,17,4
5,6,6,good idea,never,3,6,interested,not interested,not interested,use other app,not interested,not interested,not interested,unemployed,north,female,17,9
1,6,3,good idea,never,6,6,interested,not interested,not interested,interested,not interested,interested,interested,unemployed,north,female,25,1.5
3,6,4,good idea,never,3,3,interested,not interested,interested,interested,not interested,interested,interested,education,north,female,30,4
3,4,5,good idea,never,1,5,interested,not interested,not interested,not interested,not interested,not interested,not interested,unemployed,north,male,16,5
3,2,5,good idea,never,2,4,interested,not interested,not interested,interested,not interested,not interested,not interested,unemployed,north,female,23,9
1,5,3,good idea,never,3,6,interested,not interested,not interested,interested,not interested,interested,interested,salaried employee,north,female,27,2
1,5,6,good idea,never,2,6,interested,interested,interested,interested,interested,interested,not interested,unemployed,north,female,24,1
4,6,0,good idea,never,1,5,not interested,not interested,interested,interested,not interested,not interested,not interested,finance and marketing,center,male,37,6
2,4,4,good idea,never,2,4,interested,not interested,interested,interested,not interested,interested,interested,high tech,north,male,28,3
5,5,6,good idea,never,6,5,interested,not interested,not interested,interested,not interested,interested,interested,finance and marketing,north,female,23,8
3,5,3,good idea,never,1,6,interested,not interested,not interested,interested,not interested,interested,not interested,salaried employee,center,female,28,3.5
4,4,3,good idea,never,1,3,interested,not interested,not interested,interested,not interested,not interested,interested,unemployed,center,female,40,7
2,3,1,good idea,never,1,2,interested,not interested,interested,interested,not interested,interested,interested,high tech,north,male,35,4
4,4,3,good idea,never,4,4,interested,interested,interested,interested,interested,interested,interested,high tech,north,male,30,5
3,5,1,good idea,seldom,1,6,interested,not interested,not interested,interested,not interested,not interested,use other app,high tech,north,male,35,4
4,6,1,good idea,never,2,4,not interested,not interested,not interested,not interested,not interested,not interested,not interested,unemployed,north,male,29,7
2,5,6,good idea,seldom,1,5,use other app,interested,not interested,interested,interested,interested,interested,high tech,center,male,28,3
5,6,4,good idea,never,3,5,interested,interested,interested,interested,interested,interested,interested,high tech,south,male,28,2
3,6,4,good idea,regularly,3,6,interested,interested,interested,interested,interested,interested,interested,education,north,female,28,2
2,5,5,good idea,never,1,5,interested,not interested,use other app,use other app,not interested,use other app,use other app,high tech,north,male,46,1
1,6,6,good idea,never,4,5,interested,interested,not interested,interested,not interested,interested,not interested,salaried employee,north,female,35,6
5,6,6,good idea,seldom,4,5,interested,not interested,not interested,interested,not interested,not interested,not interested,unemployed,north,female,60,2.4
5,5,4,good idea,never,4,6,interested,interested,not interested,interested,interested,not interested,not interested,finance and marketing,center,male,28,2
5,5,0,good idea,seldom,5,5,interested,interested,interested,interested,interested,interested,interested,high tech,south,female,25,1.5
3,4,6,good idea,seldom,6,6,interested,interested,interested,interested,interested,interested,interested,education,north,female,24,8
5,4,5,good idea,never,6,6,interested,not interested,use other app,interested,not interested,use other app,interested,unemployed,north,female,25,511
5,6,6,good idea,never,1,3,interested,not interested,not interested,interested,not interested,not interested,not interested,high tech,north,female,50,12
5,6,6,good idea,never,6,6,interested,not interested,interested,use other app,not interested,use other app,use other app,self employed,center,male,34,13
4,4,6,good idea,never,6,6,interested,not interested,interested,interested,interested,use other app,not interested,salaried employee,center,male,23,8
4,5,6,good idea,never,1,5,interested,not interested,not interested,not interested,not interested,not interested,interested,self employed,center,female,35,9
3,5,5,good idea,never,5,5,interested,interested,interested,interested,interested,interested,interested,self employed,north,female,29,2.5
5,6,6,good idea,never,6,6,use other app,not interested,use other app,not interested,not interested,use other app,not interested,salaried employee,center,male,34,1.2
4,5,3,good idea,never,4,4,interested,not interested,interested,interested,use other app,not interested,interested,unemployed,north,male,24,7
3,5,6,good idea,never,6,6,interested,not interested,not interested,not interested,not interested,not interested,not interested,unemployed,north,female,21,2.5
1,6,5,good idea,regularly,1,3,interested,interested,not interested,not interested,interested,interested,not interested,high tech,north,male,45,1.5
5,3,5,good idea,seldom,2,6,interested,interested,interested,use other app,interested,interested,not interested,self employed,north,female,40,4
3,6,4,good idea,never,1,4,interested,not interested,not interested,interested,interested,interested,interested,finance and marketing,north,male,29,2
2,6,4,good idea,never,4,6,not interested,interested,interested,interested,interested,interested,interested,unemployed,north,male,22,1
2,6,6,good idea,never,6,6,interested,interested,interested,interested,interested,interested,interested,high tech,north,male,28,1
3,6,0,not interested,never,1,6,interested,interested,not interested,interested,not interested,interested,interested,education,north,male,30,2.5
3,6,6,good idea,never,3,6,interested,not interested,interested,not interested,not interested,interested,not interested,salaried employee,center,male,39,2
